client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
KIND,KIND,3/10/2019,sponsoredBrands,Uncategorized,NULL,NULL,NULL,NULL,693144.52
KIND,KIND,3/10/2019,sponsoredProducts,Auto,3052.36,524266,1829,16613.59,693144.52
KIND,KIND,3/10/2019,sponsoredProducts,Branded,3086.7,295676,1419,16219.37,693144.52
KIND,KIND,3/10/2019,sponsoredProducts,Category,14393.18,1884607,4944,43122.98,693144.52
KIND,KIND,3/10/2019,sponsoredProducts,Competitive,2436.06,770751,597,3520.06,693144.52
Nature's Path,Nature's Path,6/23/2019,sponsoredBrands,Category,4.01,299,4,0,92668.92
Nature's Path,Nature's Path,6/23/2019,sponsoredProducts,Auto,467.6,296113,425,1024.82,92668.92
Nature's Path,Nature's Path,6/23/2019,sponsoredProducts,Branded,607.24,91053,500,4192.07,92668.92
Nature's Path,Nature's Path,6/23/2019,sponsoredProducts,Category,2436.34,499291,1252,5318.66,92668.92
Nature's Path,Nature's Path,6/23/2019,sponsoredProducts,Competitive,64.11,35828,38,151.26,92668.92
Nature's Path,Nature's Path,11/22/2020,sponsoredBrands,Branded,207.95,15158,205,1610.77,187519.63
Nature's Path,Nature's Path,11/22/2020,sponsoredBrands,Category,172.44,45175,117,514.63,187519.63
Nature's Path,Nature's Path,11/22/2020,sponsoredProducts,Auto,398.24,124268,255,1564.65,187519.63
Nature's Path,Nature's Path,11/22/2020,sponsoredProducts,Branded,266.19,58427,141,1653.86,187519.63
Nature's Path,Nature's Path,11/22/2020,sponsoredProducts,Category,347.42,75418,200,1319.81,187519.63
Nature's Path,Nature's Path,12/19/2021,sponsoredBrands,Branded,128.91,3687,64,613.73,233659.81
Nature's Path,Nature's Path,12/19/2021,sponsoredBrands,Category,63.38,13009,35,369.07,233659.81
Nature's Path,Nature's Path,12/19/2021,sponsoredBrandsVideo,Branded,7.24,324,6,0,233659.81
Nature's Path,Nature's Path,12/19/2021,sponsoredProducts,Auto,156.06,72708,132,568.1,233659.81
